123	142	123	123	123	123	123	123	123	123	123	142	142	123	123	123	123	123	123	105	123	123	123	123	
123	123	123	123	105	123	123	123	123	123	123	123	142	123	105	123	105	105	105	105	105	105	123	123	
105	105	105	105	105	105	105	105	105	105	105	105	123	105	105	105	105	105	105	105	105	105	123	105	
105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	
105	105	105	105	105	105	105	105	105	87	87	87	87	87	87	87	87	105	105	105	105	105	105	105	
105	105	105	105	105	105	105	105	105	87	87	87	69	69	69	69	69	87	87	87	105	105	105	105	
87	105	105	105	105	105	87	87	87	69	51	51	51	51	69	69	69	87	87	87	105	105	105	87	
87	87	87	87	87	87	87	87	87	69	51	51	51	51	51	51	51	87	69	87	87	105	105	105	
87	87	87	87	87	87	87	87	69	51	34	34	34	34	34	34	34	51	51	69	87	87	87	87	
87	87	87	87	87	87	69	69	51	34	17	17	34	17	17	17	34	34	34	51	69	87	87	87	
87	87	87	87	87	69	69	51	34	17	17	17	17	17	17	17	17	34	34	34	69	87	87	87	
87	87	87	87	87	69	51	34	17	17	17	17	17	17	17	17	17	17	34	34	51	69	87	87	
87	87	87	87	87	69	51	34	17	17	0	0	17	17	17	17	17	34	34	34	51	87	69	69	
87	87	87	87	69	69	51	34	17	17	0	0	17	17	17	17	17	17	34	34	51	51	69	69	
69	69	87	69	69	51	51	34	17	17	0	17	17	17	17	17	17	17	34	34	34	51	51	69	
69	69	69	69	69	51	34	34	34	17	17	17	17	17	17	17	17	34	34	34	51	51	69	69	
51	51	69	69	51	34	34	34	34	17	17	17	17	17	17	17	17	34	34	51	51	69	69	51	
51	51	69	51	51	34	34	34	34	17	17	17	17	17	17	17	17	34	34	51	51	51	69	51	
34	51	51	51	34	34	34	34	34	34	34	34	34	17	17	17	34	34	34	34	34	51	51	51	
34	34	51	51	51	34	51	34	34	34	34	34	34	17	34	17	34	34	34	34	34	51	51	51	
34	34	34	34	34	34	51	34	34	34	34	34	34	17	34	34	34	34	34	34	34	34	34	34	
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	
34	34	34	34	34	34	34	34	34	34	34	34	34	17	34	34	34	34	34	34	34	34	34	34	
34	34	17	34	17	17	17	34	34	34	34	34	34	17	34	34	34	34	34	34	34	17	17	17	
