-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	79	79	79	79	79	79	79	79	79	
-2580	-2580	-2580	-2580	-2580	185	-2580	185	185	185	163	163	163	142	121	121	100	100	79	79	79	79	79	79	
163	142	142	163	185	185	185	185	185	185	163	163	142	142	121	121	121	100	100	79	79	79	79	79	
163	142	142	163	185	185	208	185	185	185	163	163	142	142	121	121	100	100	79	79	79	79	79	79	
163	163	142	163	163	185	185	163	163	163	163	142	142	121	121	100	100	100	100	79	100	79	100	100	
163	163	142	163	163	185	163	163	163	163	142	142	121	121	121	100	100	100	100	100	100	100	100	100	
208	208	163	163	208	208	163	163	142	142	142	121	100	100	100	79	100	100	79	100	100	100	100	100	
208	208	208	163	208	208	208	163	121	100	79	59	59	79	79	79	79	79	79	79	100	100	79	79	
163	163	163	163	185	208	163	142	79	59	39	39	39	59	59	59	59	59	59	79	79	79	79	100	
163	163	163	163	163	163	163	19	19	39	19	19	19	39	39	39	39	59	59	59	79	79	79	79	
163	163	163	163	163	142	19	19	19	39	19	19	19	39	39	39	39	39	59	59	79	79	79	79	
163	163	163	142	142	121	19	19	19	19	19	19	19	39	39	39	39	39	59	59	79	79	79	79	
163	163	163	163	163	121	0	19	0	0	0	19	19	39	39	39	39	59	59	59	59	59	59	79	
163	163	163	163	163	142	0	19	0	0	0	19	19	39	39	39	39	39	39	59	59	59	59	79	
142	142	163	163	142	121	19	0	19	0	0	19	19	39	39	39	39	39	39	59	59	59	59	59	
121	142	142	142	121	79	39	19	19	19	19	19	39	39	39	39	39	59	59	59	59	59	59	59	
79	121	121	121	100	59	59	39	19	19	19	19	39	39	39	39	39	59	59	59	59	59	59	59	
79	100	100	100	79	59	59	39	39	19	19	39	39	39	39	39	39	59	59	59	59	59	59	59	
79	79	100	100	79	59	59	59	39	39	39	39	39	39	39	39	39	59	59	59	59	59	59	59	
59	59	79	79	59	59	59	59	59	39	59	59	59	59	59	39	39	39	59	39	39	59	59	59	
59	59	59	59	59	59	59	59	59	39	39	39	39	19	39	19	19	39	39	59	39	59	59	59	
39	39	39	59	59	59	59	59	59	39	39	39	39	19	39	19	19	39	39	59	39	59	59	39	
59	59	59	39	59	59	59	59	59	39	39	59	59	59	59	19	19	59	59	39	39	59	39	39	
39	39	39	39	59	59	59	59	59	59	59	59	59	19	59	19	19	59	39	39	39	39	39	39	
