125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	113	113	113	101	89	78	66	66	
113	125	125	125	125	125	125	125	125	125	125	113	125	125	125	125	125	113	113	113	101	78	66	66	
113	113	125	125	125	125	125	125	125	113	113	113	113	113	113	113	113	113	113	113	101	78	66	66	
113	113	125	125	125	125	125	125	125	113	113	101	101	113	113	113	113	113	113	113	101	89	66	66	
113	113	113	125	125	125	125	125	113	101	101	89	89	101	113	113	113	113	113	113	113	101	78	78	
101	113	113	113	113	125	125	125	101	101	89	89	89	89	101	101	113	113	113	113	113	101	89	89	
101	113	113	113	113	113	113	113	89	89	89	89	89	89	101	101	101	101	101	101	101	89	89	89	
101	113	101	101	101	101	89	78	66	78	66	66	66	78	89	89	89	89	101	101	101	89	89	89	
101	113	101	101	101	89	66	55	55	55	55	55	44	55	55	66	78	78	89	89	89	89	89	89	
101	101	101	101	89	78	66	44	44	44	44	32	32	32	44	44	55	66	89	89	89	89	89	89	
101	101	101	89	89	78	55	44	44	32	32	32	32	32	32	44	44	55	78	78	89	89	89	89	
89	89	89	89	78	66	55	44	44	21	32	21	21	21	21	21	32	55	66	78	89	89	89	89	
89	89	89	78	78	55	44	32	32	32	32	21	21	21	21	21	32	44	55	66	78	78	78	78	
89	89	89	78	66	55	44	32	32	32	32	21	21	21	21	21	21	32	44	55	66	66	66	78	
89	89	89	78	66	55	44	44	32	32	21	21	21	21	21	11	21	21	32	55	55	66	66	78	
89	89	89	66	55	44	44	32	32	21	21	21	21	21	21	21	21	32	44	55	55	66	66	78	
78	89	78	66	55	44	44	44	32	32	21	21	21	21	21	21	32	44	55	66	66	66	78	78	
78	78	66	55	55	44	44	44	32	32	32	21	21	21	21	21	32	44	55	66	66	78	78	78	
66	66	66	55	55	44	44	44	44	32	32	32	21	21	21	32	44	55	55	66	66	78	78	89	
55	55	55	55	44	44	55	44	44	44	44	44	44	32	32	44	55	66	66	66	78	78	89	89	
32	44	44	44	44	44	44	44	44	32	32	44	55	44	44	55	66	78	78	78	78	89	89	89	
11	21	32	21	32	44	44	32	32	32	32	44	55	55	55	66	78	78	89	89	89	89	89	101	
0	11	11	11	21	21	21	21	21	21	21	32	44	44	55	66	89	89	89	89	89	89	101	101	
0	11	11	11	11	11	21	11	11	11	11	21	32	32	44	66	89	89	101	101	101	101	101	101	
