120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	183	183	205	183	183	183	183	183	183	-2560	99	79	
120	120	120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	183	183	183	183	183	183	183	183	162	120	99	
141	120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	183	183	183	183	183	183	183	183	183	183	162	120	99	
120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	205	205	205	205	183	183	183	183	183	183	162	120	99	
99	120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	183	183	183	183	183	183	183	183	183	183	183	141	120	
120	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	-2560	183	183	183	183	183	183	183	183	141	99	
120	120	-2560	228	228	228	250	274	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	205	183	183	183	141	99	
141	162	162	250	250	250	250	274	-2560	-2560	-2560	-2560	-2560	-2560	-2560	-2560	183	183	183	183	183	183	120	79	
162	183	205	228	250	250	250	250	-2560	-2560	-2560	-2560	-2560	-2560	-2560	39	39	183	183	183	183	162	99	79	
162	183	205	228	250	250	250	250	-2560	-2560	-2560	-2560	39	39	39	39	59	-2560	162	162	162	162	99	79	
162	183	205	228	250	274	274	274	-2560	-2560	-2560	20	39	39	39	59	59	39	162	162	162	162	120	99	
183	205	205	250	250	274	274	274	0	0	0	20	20	20	39	39	39	39	79	162	162	162	120	99	
162	183	205	228	250	274	274	274	0	0	0	20	20	20	39	39	39	39	79	99	141	141	99	99	
162	162	183	205	228	250	250	20	20	20	0	20	20	20	39	39	39	39	79	99	120	141	99	99	
141	162	162	183	228	205	205	99	39	39	20	20	20	20	39	39	39	39	79	79	99	120	79	99	
120	141	120	120	120	120	120	99	79	59	39	20	39	20	39	39	39	59	79	99	99	99	79	79	
120	120	120	99	99	120	99	99	79	59	39	39	39	20	39	39	39	59	79	99	99	120	79	79	
120	120	99	99	99	99	99	99	79	79	59	39	59	39	39	39	59	59	79	99	99	99	79	79	
99	99	99	99	99	99	99	99	79	79	79	59	59	39	39	39	59	79	79	99	99	99	79	79	
99	99	99	99	99	99	99	99	99	79	79	79	79	59	59	59	79	79	79	79	99	99	79	79	
99	99	99	99	99	99	99	99	99	79	79	79	79	59	59	59	59	79	79	79	79	79	59	79	
79	79	79	79	79	99	99	79	99	79	79	79	79	79	79	59	59	79	79	79	79	79	59	59	
79	79	79	79	79	79	79	79	79	79	79	79	79	79	59	59	59	79	79	79	79	79	59	59	
59	79	79	79	79	79	79	79	79	79	79	79	79	59	59	59	59	59	59	59	79	79	59	59	
