126	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	126	126	
126	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	126	126	
126	138	138	138	138	138	138	126	126	126	138	126	138	138	126	126	126	138	138	138	138	138	138	138	
126	138	138	138	138	138	138	126	126	126	126	126	126	126	126	126	126	126	126	126	126	138	126	126	
126	138	138	138	138	138	126	126	126	114	114	114	114	114	126	114	114	126	126	126	126	126	126	126	
126	126	126	126	126	126	126	114	114	102	114	90	90	90	102	102	114	114	114	114	126	126	126	126	
126	126	126	126	126	126	114	102	90	78	78	55	55	67	90	90	102	102	102	114	126	126	126	126	
126	126	126	126	114	114	90	78	55	55	44	44	44	55	55	55	78	90	102	114	126	126	126	126	
126	114	114	114	102	90	78	67	55	44	44	44	44	44	44	44	55	67	78	102	114	126	126	126	
114	114	102	102	90	78	55	55	44	44	44	44	44	44	44	44	44	55	67	90	102	102	126	126	
114	102	90	90	78	67	55	44	44	44	33	33	44	44	44	44	44	44	55	78	90	102	102	114	
102	90	90	90	78	67	55	44	44	44	33	33	33	33	33	33	44	44	44	55	78	90	90	102	
102	90	90	90	78	67	55	44	44	33	33	33	33	33	33	33	44	44	44	55	78	78	90	90	
90	90	78	78	67	67	55	44	44	33	33	33	33	33	33	33	33	33	44	44	55	78	90	90	
90	90	78	78	67	67	44	44	33	33	33	33	33	33	33	33	33	33	44	44	55	67	78	90	
90	90	78	78	67	55	44	33	33	33	33	33	33	33	33	33	33	33	44	44	44	55	67	78	
78	78	67	67	55	44	33	33	33	33	33	33	33	33	33	33	33	33	33	33	44	44	55	67	
78	78	67	67	44	33	33	21	21	21	21	21	21	33	33	33	33	33	33	33	33	44	44	55	
67	67	55	55	33	21	21	21	10	21	10	21	10	21	21	21	21	33	33	33	33	33	33	44	
44	44	33	33	21	10	10	10	10	10	10	10	10	10	21	21	21	21	21	21	33	33	33	33	
21	21	21	10	10	10	10	10	10	10	0	10	0	10	10	10	10	21	21	21	21	21	21	21	
10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	
0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
