126	126	126	126	126	126	126	126	126	126	126	114	114	114	114	114	114	126	126	126	126	126	126	126	
114	126	126	126	126	126	126	126	126	126	114	114	114	114	114	114	114	114	126	126	114	126	126	126	
114	114	114	114	114	114	114	114	126	114	114	114	114	114	114	114	114	114	126	126	114	126	126	126	
102	114	114	114	102	114	102	114	114	114	114	114	114	114	114	114	114	114	126	126	114	126	126	126	
102	102	102	102	102	102	102	114	114	102	114	114	114	114	114	114	114	114	114	114	114	114	114	114	
102	102	102	102	102	102	102	102	102	102	102	102	-1931	-1931	102	102	114	114	114	114	114	114	114	102	
90	90	90	90	90	102	102	102	102	102	-1931	-1931	-1931	-1931	-1931	-1931	-1931	114	114	114	102	102	102	102	
90	90	90	90	90	90	90	90	90	78	78	-1931	-1931	-1931	-1931	-1931	-1931	-1931	102	102	102	90	102	90	
90	90	90	90	90	90	90	78	78	67	67	33	-1931	-1931	-1931	-1931	-1931	-1931	90	90	90	90	90	90	
90	90	90	90	90	90	78	78	67	44	33	-1931	-1931	-1931	-1931	-1931	-1931	-1931	78	78	90	90	90	90	
90	90	90	90	90	90	78	78	67	21	21	21	-1931	-1931	-1931	-1931	-1931	-1931	-1931	-1931	78	78	78	90	
90	90	90	90	90	78	78	78	21	21	10	10	10	0	10	-1931	-1931	-1931	-1931	-1931	67	78	78	78	
78	90	90	90	90	78	78	78	10	10	10	10	10	10	10	21	21	-1931	44	55	67	78	78	78	
78	78	78	78	90	78	78	0	0	0	10	10	10	0	10	-1931	-1931	-1931	-1931	-1931	67	78	78	78	
78	78	78	78	78	78	78	-1931	0	0	10	10	10	0	0	-1931	-1931	-1931	-1931	-1931	67	78	78	78	
78	78	78	78	78	78	78	67	21	21	21	21	21	10	-1931	10	-1931	-1931	-1931	55	-1931	78	78	78	
78	78	78	78	78	67	67	67	67	33	33	33	33	33	33	-1931	-1931	-1931	55	-1931	55	67	67	67	
67	67	67	67	67	67	67	67	67	33	33	33	33	33	-1931	-1931	-1931	-1931	-1931	55	55	55	55	55	
67	55	67	67	67	55	55	55	55	44	44	33	33	33	33	-1931	44	44	55	55	55	55	55	55	
55	55	55	55	55	55	55	67	67	55	55	44	44	44	44	44	44	44	55	55	55	55	55	55	
44	55	55	55	55	55	55	55	67	55	55	44	44	44	44	44	44	44	55	55	55	55	55	55	
44	44	44	55	55	55	55	67	67	55	55	55	55	44	44	44	44	44	44	55	44	55	44	55	
44	44	44	55	55	55	55	67	67	55	67	55	55	55	55	44	44	44	44	44	44	44	44	44	
44	44	44	44	44	55	55	67	67	55	67	55	55	55	55	44	44	44	44	44	44	44	44	44	
