-2580	-2580	-2580	-2580	-2580	142	142	-2580	-2580	-2580	-2580	-2580	-2580	-2580	-2580	59	59	59	59	59	59	59	79	79	
-2580	-2580	142	163	-2580	163	163	163	-2580	142	-2580	-2580	-2580	-2580	-2580	79	79	79	79	79	79	79	79	79	
163	163	163	163	163	163	163	163	185	163	163	-2580	-2580	-2580	-2580	100	100	100	79	100	79	79	79	79	
163	163	163	163	163	185	185	163	163	163	163	-2580	-2580	-2580	-2580	-2580	100	79	59	79	79	79	79	79	
163	163	163	163	163	185	185	163	163	163	163	79	-2580	79	-2580	-2580	79	79	59	100	100	100	100	100	
163	163	163	163	163	208	185	163	142	142	100	79	79	79	79	79	79	79	100	100	100	100	100	100	
163	163	163	163	185	208	163	163	142	142	100	79	59	79	79	79	79	79	79	100	100	100	100	100	
163	163	163	163	185	208	185	163	163	100	59	39	39	59	59	59	59	59	59	79	79	100	100	100	
163	163	163	185	185	208	142	163	79	59	39	19	19	39	39	59	59	59	59	79	79	100	79	100	
185	163	163	163	185	185	59	19	19	19	19	19	19	39	39	39	39	39	39	59	79	79	79	100	
163	163	163	163	163	121	19	19	19	19	19	19	19	39	39	39	39	39	39	59	79	79	79	79	
163	163	163	163	163	79	19	19	19	19	19	19	19	39	39	39	39	39	39	59	79	79	59	79	
163	163	163	163	185	19	0	0	19	19	19	19	19	39	39	39	39	39	39	39	59	59	59	79	
163	163	163	185	185	163	19	19	19	19	0	19	19	39	39	39	19	39	59	79	79	79	59	59	
142	163	163	163	142	39	19	19	19	19	0	19	19	19	19	39	19	39	39	39	39	39	59	59	
121	121	121	142	100	59	39	19	19	19	19	19	19	39	39	39	39	39	39	39	39	39	59	59	
59	100	121	121	79	59	39	19	19	19	19	19	39	39	39	39	19	39	39	39	39	39	59	59	
59	79	100	100	59	59	59	39	39	19	19	19	39	39	39	39	39	39	59	39	39	39	59	59	
59	79	79	79	79	59	59	39	59	19	19	19	39	19	39	19	19	39	59	39	39	59	59	59	
59	59	79	79	39	39	39	59	59	59	59	59	59	59	59	19	19	59	39	39	39	59	59	59	
39	39	59	59	39	39	39	59	59	39	39	39	39	19	19	19	19	59	39	39	39	59	59	59	
59	59	59	59	39	39	39	39	39	39	39	39	59	59	59	19	19	59	59	39	39	59	59	59	
39	39	59	59	39	39	39	59	39	39	39	59	59	59	59	19	19	59	59	39	39	39	39	39	
39	39	39	39	39	39	59	59	59	19	19	59	59	19	19	19	19	59	39	19	19	39	39	19	
